"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 16 04:22:46 UTC 2026","Mon Feb 16 04:22:46 UTC 2026","0","test","test_loginPage","","","","test_lognUsingValidCredentials",""
"broken","Mon Feb 16 04:23:26 UTC 2026","Mon Feb 16 04:23:26 UTC 2026","0","test","test_shoppingCartPage","","","","test_ValdiateTheShoppingCartDetails12",""
"broken","Mon Feb 16 04:22:46 UTC 2026","Mon Feb 16 04:22:46 UTC 2026","0","test","test_loginPage","","","","test_lognUsingInValidCredentials",""
"passed","Mon Feb 16 04:23:23 UTC 2026","Mon Feb 16 04:23:23 UTC 2026","0","test","test_shoppingCartPage","","","","test3",""
"broken","Mon Feb 16 04:22:46 UTC 2026","Mon Feb 16 04:22:46 UTC 2026","0","test","test_homepage","","","","test_validateUIOfAmazonHomePage",""
"broken","Mon Feb 16 04:22:46 UTC 2026","Mon Feb 16 04:22:46 UTC 2026","0","test","test_resultsPage","","","","test_validateTheResults_samsung",""
"broken","Mon Feb 16 04:22:46 UTC 2026","Mon Feb 16 04:22:46 UTC 2026","0","test","test_resultsPage","","","","test_validateTheResults",""
"broken","Mon Feb 16 04:22:46 UTC 2026","Mon Feb 16 04:22:46 UTC 2026","0","test","test_shoppingCartPage","","","","test_ValdiateTheShoppingCartDetails",""
